"combination(src,dst)",total_propogationloss(dB),total_bendloss(dB),total_couplingloss(dB),total_distance(cm),bitrate,photonic_delay
(15  4),8.392699,0.01,2.0,8.392699,30,6
(15  5),8.517699,0.01,2.0,8.517699,15,11
(15  6),8.392699,0.01,2.0,8.392699,20,9
(15  7),8.517699,0.01,2.0,8.517699,25,7
(15  8),8.392699,0.01,2.0,8.392699,20,9
(15  9),8.517699,0.01,2.0,8.517699,25,7
(15  10),8.392699,0.01,2.0,8.392699,20,9
(15  11),8.517699,0.01,2.0,8.517699,10,17
(15  12),8.392699,0.01,2.0,8.392699,5,33
(15  13),8.517699,0.01,2.0,8.517699,25,7
(15  14),8.392699,0.01,2.0,8.392699,30,6
(16  17),0.125,0.0,2.0,0.125,5,33
(16  18),0.0,0.0,2.0,0.0,25,7
(16  19),0.125,0.0,2.0,0.125,20,9
(16  20),0.0,0.0,2.0,0.0,30,6
(16  21),0.125,0.0,2.0,0.125,5,33
(16  22),0.0,0.0,2.0,0.0,30,6
(16  23),0.125,0.0,2.0,0.125,20,9
(16  24),0.0,0.0,2.0,0.0,20,8
(16  25),0.125,0.0,2.0,0.125,15,11
(16  26),0.0,0.0,2.0,0.0,30,6
(16  27),0.125,0.0,2.0,0.125,15,11
(16  28),0.0,0.0,2.0,0.0,15,11
(16  29),0.125,0.0,2.0,0.125,25,7
(16  30),0.0,0.0,2.0,0.0,20,8
(16  31),0.125,0.0,2.0,0.125,10,17
(17  16),8.392699,0.015,2.0,8.392699,10,17
(17  18),0.125,0.0,2.0,0.125,20,9
(17  19),0.0,0.0,2.0,0.0,20,8
(17  20),0.125,0.0,2.0,0.125,15,11
(17  21),0.0,0.0,2.0,0.0,20,8
(17  22),0.125,0.0,2.0,0.125,25,7
(17  23),0.0,0.0,2.0,0.0,10,16
(17  24),0.125,0.0,2.0,0.125,15,11
(17  25),0.0,0.0,2.0,0.0,25,7
(17  26),0.125,0.0,2.0,0.125,25,7
(17  27),0.0,0.0,2.0,0.0,10,16
(17  28),0.125,0.0,2.0,0.125,25,7
(17  29),0.0,0.0,2.0,0.0,10,16
(17  30),0.125,0.0,2.0,0.125,25,7
(17  31),0.0,0.0,2.0,0.0,5,32
(18  16),8.517699,0.015,2.0,8.517699,20,9
(18  17),8.642699,0.015,2.0,8.642699,10,17
(18  19),0.125,0.0,2.0,0.125,5,33
(18  20),0.0,0.0,2.0,0.0,25,7
(18  21),0.125,0.0,2.0,0.125,5,33
(18  22),0.0,0.0,2.0,0.0,5,32
(18  23),0.125,0.0,2.0,0.125,25,7
(18  24),0.0,0.0,2.0,0.0,5,32
(18  25),0.125,0.0,2.0,0.125,5,33
(18  26),0.0,0.0,2.0,0.0,20,8
(18  27),0.125,0.0,2.0,0.125,5,33
(18  28),0.0,0.0,2.0,0.0,20,8
(18  29),0.125,0.0,2.0,0.125,10,17
(18  30),0.0,0.0,2.0,0.0,15,11
(18  31),0.125,0.0,2.0,0.125,20,9
(19  16),8.392699,0.015,2.0,8.392699,25,7
(19  17),8.517699,0.015,2.0,8.517699,10,17
(19  18),8.392699,0.015,2.0,8.392699,5,33
(19  20),0.125,0.0,2.0,0.125,5,33
(19  21),0.0,0.0,2.0,0.0,20,8
(19  22),0.125,0.0,2.0,0.125,25,7
(19  23),0.0,0.0,2.0,0.0,10,16
(19  24),0.125,0.0,2.0,0.125,20,9
(19  25),0.0,0.0,2.0,0.0,25,7
(19  26),0.125,0.0,2.0,0.125,20,9
(19  27),0.0,0.0,2.0,0.0,30,6
(19  28),0.125,0.0,2.0,0.125,20,9
(19  29),0.0,0.0,2.0,0.0,10,16
